char	codepoint	readings
𤕪	U+2456A	tường
𤖡	U+245A1	rìu
𤖶	U+245B6	bánh
𤖸	U+245B8	chũa
𤖹	U+245B9	lớp
𤗆	U+245C6	múi
𤗖	U+245D6	mảnh
𤗤	U+245E4	cổng
𤗲	U+245F2	tấm
𤗹	U+245F9	phướn
𤘁	U+24601	mỏng
𤘂	U+24602	mỏng
𤘋	U+2460B	ngà
𤘓	U+24613	nanh
𤘽	U+2463D	hấu
𤙗	U+24657	phương
𤙡	U+24661	tuynh
𤙭	U+2466D	bò
𤙮	U+2466E	ngàu
𤙱	U+24671	xá
𤚆	U+24686	bê
𤚇	U+24687	nghé
𤚦	U+246A6	cộ
𤚧	U+246A7	sao
𤛇	U+246C7	chăn
𤛛	U+246DB	đà
𤛞	U+246DE	nghé
𤛠	U+246E0	trâu
𤜅	U+24705	hoắc
𤜠	U+24720	nái
𤜬	U+2472C	săn
𤜭	U+2472D	tử
𤜯	U+2472F	cọp
𤝋	U+2474B	vằn
𤝑	U+24751	mướp
𤝞	U+2475E	chuột
𤝣	U+24763	băng
𤝫	U+2476B	nhím
𤝹	U+24779	chù
𤞐	U+24790	chồn
𤞑	U+24791	hòi
𤞒	U+24792	ngỗng
𤞓	U+24793	săn
𤞔	U+24794	thấc
𤞕	U+24795	tấy
𤞖	U+24796	lòi
𤞘	U+24798	sề
𤞤	U+247A4	hiểm
𤞦	U+247A6	mọi
𤞧	U+247A7	khọn
𤞨	U+247A8	bò
𤞩	U+247A9	rợ
𤞪	U+247AA	rợ
𤞫	U+247AB	rái
𤞰	U+247B0	cầu
𤞺	U+247BA	cáo
𤞻	U+247BB	hùm
𤞼	U+247BC	lợn
𤞽	U+247BD	mường
𤟂	U+247C2	độc
𤟔	U+247D4	tràng
𤟛	U+247DB	thỏ
𤟧	U+247E7	tỷ
𤠂	U+24802	đười
𤠃	U+24803	kễnh
𤠄	U+24804	gà
𤠅	U+24805	voi
𤠆	U+24806	ươi
𤠋	U+2480B	trâu
𤠚	U+2481A	chó
𤠤	U+24824	hoẵng
𤠰	U+24830	gấu
𤠱	U+24831	ươi
𤠲	U+24832	khái
𤠳	U+24833	khỉ
𤠴	U+24834	vượn
𤠶	U+24836	chằn
𤠷	U+24837	sề
𤠹	U+24839	rái
𤡁	U+24841	mãn
𤡇	U+24847	hao
𤡌	U+2484C	muông
𤡚	U+2485A	khái
𤡛	U+2485B	nanh
𤡮	U+2486E	nhen|nhiên
𤡳	U+24873	sân
𤡺	U+2487A	ninh
𤢆	U+24886	nanh
𤢇	U+24887	vuốt
𤢈	U+24888	săn
𤢊	U+2488A	lộ
𤢒	U+24892	trãi
𤢔	U+24894	nhen
𤢗	U+24897	lòi
𤢜	U+2489C	độc
𤢤	U+248A4	bẵm
𤢥	U+248A5	vượn
𤢫	U+248AB	ngáo
𤢬	U+248AC	đười
𤢽	U+248BD	nhắt
𤢾	U+248BE	nhím
𤢿	U+248BF	sói
𤣃	U+248C3	lỗ
𤣄	U+248C4	beo
𤣎	U+248CE	anh
𤣚	U+248DA	nhím
𤣡	U+248E1	dọc
𤣥	U+248E5	huyền
𤣮	U+248EE	ngật
𤣲	U+248F2	tấn
𤤰	U+24930	vua
𤥑	U+24951	vòng
𤥗	U+24957	lưu
𤥭	U+2496D	xà
𤦲	U+249B2	cừ
𤩷	U+24A77	tuyền
𤩾	U+24A7E	lưu
𤪊	U+24A8A	cườm
𤪓	U+24A93	tuyền
𤪻	U+24ABB	tuyền
𤪽	U+24ABD	tuyền
𤫩	U+24AE9	linh
𤫿	U+24AFF	dưa
𤬀	U+24B00	dưa
𤬄	U+24B04	hồ
𤬈	U+24B08	hấu
𤬪	U+24B2A	ngói
𤬲	U+24B32	ngói
𤬸	U+24B38	sành
𤭚	U+24B5A	gáo
𤭵	U+24B75	ấm
𤭶	U+24B76	hông
𤭷	U+24B77	chậu
𤭸	U+24B78	bình
𤭹	U+24B79	áng
𤮃	U+24B83	ang
𤮄	U+24B84	gạch
𤮍	U+24B8D	chuyên
𤮐	U+24B90	tôn
𤮑	U+24B91	be
𤮒	U+24B92	hũ
𤮗	U+24B97	lọ
𤮘	U+24B98	gạch
𤮞	U+24B9E	ngói
𤮟	U+24B9F	ngói
𤮠	U+24BA0	muống
𤮥	U+24BA5	âu
𤮺	U+24BBA	cam
𤮾	U+24BBE	ngọt
𤮿	U+24BBF	ngọt
𤯆	U+24BC6	ngon
𤯉	U+24BC9	đam
𤯊	U+24BCA	chè
𤯑	U+24BD1	lắm
𤯓	U+24BD3	sinh
𤯨	U+24BE8	sống
𤯩	U+24BE9	sống
𤯭	U+24BED	sánh
𤯰	U+24BF0	đẻ
𤯱	U+24BF1	gã
𤯳	U+24BF3	tô
𤯶	U+24BF6	cữ
𤯺	U+24BFA	siêng
𤯿	U+24BFF	đẻ
𤰁	U+24C01	cữ
𤰒	U+24C12	điền
𤰕	U+24C15	quyến
𤰞	U+24C1E	ty
𤰱	U+24C31	hoạch
𤱈	U+24C48	mẫu
𤱑	U+24C51	mẫu
𤱔	U+24C54	mẫu
𤲂	U+24C82	dưới
𤲌	U+24C8C	ruộng
𤲼	U+24CBC	dái
𤳄	U+24CC4	bởi
𤳆	U+24CC6	trai
𤳇	U+24CC7	trai
𤳢	U+24CE2	trống
𤳧	U+24CE7	lạ
𤳨	U+24CE8	rộc
𤳰	U+24CF0	ve
𤳱	U+24CF1	ruộng
𤳷	U+24CF7	bởi
𤳸	U+24CF8	bởi
𤳽	U+24CFD	ruộng
𤴏	U+24D0F	lạ
𤴓	U+24D13	chính|sơ
𤴥	U+24D25	ngất
𤴪	U+24D2A	ghẻ
𤴬	U+24D2C	đau
𤴭	U+24D2D	bớt
𤴵	U+24D35	nhức
𤴶	U+24D36	sởi
𤵊	U+24D4A	đòn
𤵐	U+24D50	ngộ
𤵕	U+24D55	khờ
𤵖	U+24D56	vết
𤵪	U+24D6A	sẹo
𤵳	U+24D73	bón
𤵴	U+24D74	sảy
𤵶	U+24D76	si
𤵺	U+24D7A	dại
𤶄	U+24D84	nhặm
𤶈	U+24D88	tấy
𤶎	U+24D8E	chau
𤶏	U+24D8F	choáng
𤶐	U+24D90	chồn
𤶑	U+24D91	nhăn
𤶒	U+24D92	ben
𤶜	U+24D9C	choáng
𤶹	U+24DB9	guộc
𤶺	U+24DBA	xoải
𤶻	U+24DBB	nghén
𤶼	U+24DBC	mâng
𤶽	U+24DBD	mụt
𤶾	U+24DBE	lằn
𤶿	U+24DBF	hầu
𤷂	U+24DC2	phì|phị
𤷄	U+24DC4	quèn
𤷒	U+24DD2	tê
𤷭	U+24DED	điếc
𤷮	U+24DEE	váng
𤷯	U+24DEF	loét
𤷰	U+24DF0	bủng
𤷱	U+24DF1	mòn
𤷲	U+24DF2	sần
𤷳	U+24DF3	nhom
𤷴	U+24DF4	ê
𤷵	U+24DF5	phờ
𤷶	U+24DF6	bướu
𤸃	U+24E03	sấu
𤸄	U+24E04	quan
𤸒	U+24E12	ngúng
𤸧	U+24E27	hoen
𤸨	U+24E28	xìu
𤸭	U+24E2D	rồ|tiển
𤹑	U+24E51	rôm
𤹒	U+24E52	khừ
𤹓	U+24E53	quặn
𤹔	U+24E54	báng
𤹕	U+24E55	ươn
𤹖	U+24E56	hen
𤹗	U+24E57	ỏng
𤹘	U+24E58	nhọc
𤹙	U+24E59	chốc
𤹚	U+24E5A	nhức
𤹼	U+24E7C	bướu
𤹽	U+24E7D	nốt
𤹾	U+24E7E	hủi
𤹿	U+24E7F	ngơ
𤺉	U+24E89	vị
𤺊	U+24E8A	tê
𤺭	U+24EAD	buốt
𤺮	U+24EAE	gúa
𤺯	U+24EAF	mụn
𤺰	U+24EB0	khom
𤺱	U+24EB1	nhèn
𤺲	U+24EB2	sởn
𤺳	U+24EB3	tê
𤺴	U+24EB4	bướu
𤺵	U+24EB5	ốm
𤺶	U+24EB6	ngứa
𤺺	U+24EBA	đan
𤻎	U+24ECE	cúm
𤻏	U+24ECF	hủi
𤻐	U+24ED0	hom
𤻑	U+24ED1	rêm
𤻒	U+24ED2	toi
𤻓	U+24ED3	gầy
𤻔	U+24ED4	ngứa
𤻪	U+24EEA	nhó
𤻫	U+24EEB	nhối
𤻬	U+24EEC	thượt
𤻭	U+24EED	ngứa
𤻲	U+24EF2	lạc
𤻳	U+24EF3	luỗi
𤻻	U+24EFB	mệt
𤻼	U+24EFC	rỗ
𤻽	U+24EFD	xải
𤻾	U+24EFE	rạn
𤼓	U+24F13	rôm
𤼔	U+24F14	ngợm
𤼕	U+24F15	nhức
𤼞	U+24F1E	gầy
𤼸	U+24F38	dâng
𤽀	U+24F40	trẻo
𤽗	U+24F57	ngươi
𤽴	U+24F74	hếu
𤽵	U+24F75	phau
𤽶	U+24F76	vía
𤽸	U+24F78	trắng
𤽼	U+24F7C	hạc
𤾓	U+24F93	trăm
𤾔	U+24F94	vang
𤾟	U+24F9F	hớ
𤾯	U+24FAF	mởn
𤾰	U+24FB0	ngươi
𤾱	U+24FB1	nhênh
𤾷	U+24FB7	phếch
𤿍	U+24FCD	vỏ
𤿤	U+24FE4	bè
𤿦	U+24FE6	da
𤿭	U+24FED	vỏ
𤿰	U+24FF0	trống
𤿱	U+24FF1	bịt
𥀌	U+2500C	giày
𥀪	U+2502A	ủng
𥀲	U+25032	độc
𥀳	U+25033	mo
𥁠	U+25060	quyến
𥁷	U+25077	vịm
𥁺	U+2507A	thảm
𥂉	U+25089	trộm
𥂫	U+250AB	trản
𥃑	U+250D1	mâm
𥃚	U+250DA	mâm
𥃛	U+250DB	mâm
𥃞	U+250DE	hết
𥃨	U+250E8	vúc
𥃭	U+250ED	tự
𥃱	U+250F1	nhắp
𥄨	U+25128	thiễu
𥄫	U+2512B	mập
𥄬	U+2512C	ngủ
𥄭	U+2512D	ngó
𥄮	U+2512E	nhắm
𥄯	U+2512F	ngơm
𥄰	U+25130	nhơn
𥄴	U+25134	huyết
𥅃	U+25143	nhớn
𥅘	U+25158	nháy
𥅞	U+2515E	thức
𥅦	U+25166	lồi
𥅲	U+25172	chau
𥅿	U+2517F	chợp
𥆀	U+25180	giương
𥆁	U+25181	liếc
𥆂	U+25182	nhằm
𥆃	U+25183	nhơ
𥆄	U+25184	quáng
𥆚	U+2519A	uông
𥆟	U+2519F	đoái
𥆡	U+251A1	dòm
𥆹	U+251B9	ngớp
𥆺	U+251BA	dấu
𥆻	U+251BB	rử
𥆼	U+251BC	lé
𥆽	U+251BD	ngỏm
𥆾	U+251BE	nhìn
𥆿	U+251BF	quàu
𥇀	U+251C0	màng
𥇁	U+251C1	trố
𥇂	U+251C2	bét
𥇈	U+251C8	nhốn
𥇶	U+251F6	him
𥇷	U+251F7	nhòm
𥇸	U+251F8	nhác
𥇹	U+251F9	ngái
𥇺	U+251FA	trợn
𥇻	U+251FB	trố
𥇼	U+251FC	nhõi
𥇽	U+251FD	nhõ
𥈁	U+25201	nghểnh
𥈢	U+25222	mí
𥈭	U+2522D	ngác
𥈯	U+2522F	láy
𥈰	U+25230	hóng
𥈱	U+25231	nhìn
𥈲	U+25232	ngấp
𥈳	U+25233	chột
𥈴	U+25234	ngước
𥈵	U+25235	nhớn
𥈶	U+25236	nom
𥈹	U+25239	nhòm
𥈺	U+2523A	dòm
𥈿	U+2523F	ngóng
𥉩	U+25269	trông
𥉪	U+2526A	háy
𥉫	U+2526B	trông
𥉬	U+2526C	lét
𥉭	U+2526D	trít
𥉮	U+2526E	sọc
𥉯	U+2526F	khoẻ
𥉰	U+25270	dòm
𥉲	U+25272	trợn
𥉸	U+25278	ghèn|khanh
𥉻	U+2527B	thế
𥊀	U+25280	xăm
𥊖	U+25296	đui
𥊗	U+25297	gượm
𥊘	U+25298	ghé
𥊙	U+25299	mòm
𥊚	U+2529A	mờ
𥊛	U+2529B	trông
𥊜	U+2529C	nguýt
𥊝	U+2529D	chớp
𥊞	U+2529E	quắc
𥊟	U+2529F	nhăn
𥊠	U+252A0	sòng
𥊡	U+252A1	nhỏn
𥊢	U+252A2	thẳng
𥊣	U+252A3	thẳng
𥊤	U+252A4	ngươi
𥊥	U+252A5	dòm
𥊦	U+252A6	mù
𥊴	U+252B4	toét
𥋒	U+252D2	tré
𥋓	U+252D3	ngoảnh
𥋔	U+252D4	trừng
𥋕	U+252D5	trộm
𥋝	U+252DD	mãnh
𥋟	U+252DF	ngươi
𥋲	U+252F2	lem
𥋳	U+252F3	coi
𥋴	U+252F4	ngắm
𥋵	U+252F5	him
𥋶	U+252F6	lấm
𥋷	U+252F7	liếc
𥋸	U+252F8	soi
𥋹	U+252F9	ngáy
𥋺	U+252FA	dòm
𥋼	U+252FC	gườm
𥋽	U+252FD	tráo
𥌀	U+25300	xét
𥌈	U+25308	trộm
𥌎	U+2530E	nhó
𥌙	U+25319	nhó
𥌣	U+25323	miên
𥌥	U+25325	khoé
𥌦	U+25326	lén
𥌧	U+25327	ló
𥌫	U+2532B	trợn
𥌬	U+2532C	nhìn
𥌯	U+2532F	manh
𥌷	U+25337	hiếng
𥌸	U+25338	dim
𥌹	U+25339	ngắm
𥍍	U+2534D	lom
𥍎	U+2534E	ngóng
𥍑	U+25351	ghẹo
𥍒	U+25352	chăm
𥍖	U+25356	trõm
𥍘	U+25358	nheo
𥍛	U+2535B	ngom
𥎁	U+25381	mềm
𥎩	U+253A9	tộc
𥎼	U+253BC	tộc
𥎿	U+253BF	tri
𥏁	U+253C1	tộc
𥏋	U+253CB	tên
𥏌	U+253CC	tên
𥏍	U+253CD	tên
𥏿	U+253FF	vắn
𥐆	U+25406	vắn
𥐇	U+25407	ngắn
𥐈	U+25408	số
𥐉	U+25409	ngắn
𥐋	U+2540B	ngủi
𥐍	U+2540D	ngắn
𥐏	U+2540F	cộc
𥐐	U+25410	ngủn
𥐒	U+25412	cụt
𥐔	U+25414	vắn
𥐞	U+2541E	mang
𥐦	U+25426	dĩa
𥐧	U+25427	lỏi
𥐨	U+25428	đĩa
𥑂	U+25442	chai
𥑃	U+25443	bền
𥑠	U+25460	cườm
𥑥	U+25465	sinh
𥑭	U+2546D	xách
𥑲	U+25472	rắn
𥑴	U+25474	ì
𥑶	U+25476	lọi
𥒃	U+25483	đĩa
𥒅	U+25485	gại
𥒥	U+254A5	đá
𥒦	U+254A6	đĩa
𥒮	U+254AE	vỡ
𥓄	U+254C4	mài
𥓅	U+254C5	vỡ
𥓉	U+254C9	sành
𥓳	U+254F3	bể
𥓴	U+254F4	mài
𥓵	U+254F5	đĩa
𥓶	U+254F6	vỡ
𥓷	U+254F7	canh
𥓸	U+254F8	sờm
𥓹	U+254F9	lỗi
𥔦	U+25526	vôi
𥔧	U+25527	chồng
𥔲	U+25532	ngạc
𥔵	U+25535	từ
𥔼	U+2553C	khánh
𥕄	U+25544	mài
𥕊	U+2554A	mảnh
𥕌	U+2554C	chởm
𥕥	U+25565	gồ
𥕦	U+25566	cổn
𥖐	U+25590	đọi
𥖑	U+25591	vỡ
𥖒	U+25592	quành
𥖓	U+25593	vỡ
𥖔	U+25594	sạn
𥖕	U+25595	lở
𥖖	U+25596	vỡ
𥖩	U+255A9	cuội
𥖸	U+255B8	oè
𥖺	U+255BA	mẻ
𥗌	U+255CC	gạch
𥗍	U+255CD	rè
𥗎	U+255CE	ghề
𥗏	U+255CF	quánh
𥗐	U+255D0	sỏi
𥗜	U+255DC	chén
𥗨	U+255E8	nén
𥗩	U+255E9	gạch
𥗳	U+255F3	gạch
𥗹	U+255F9	tô
𥗽	U+255FD	lởm
𥘀	U+25600	nặng
𥘂	U+25602	bến
𥘅	U+25605	kỳ
𥘌	U+2560C	ky
𥘑	U+25611	vạ
𥘪	U+2562A	ngó
𥘶	U+25636	trẽ
𥘷	U+25637	trẻ
𥙒	U+25652	trẩy
𥙓	U+25653	rúng
𥙧	U+25667	nhẽ
𥙩	U+25669	lấy
𥙪	U+2566A	rưỡi
𥚄	U+25684	lạy
𥚅	U+25685	nhễ
𥚆	U+25686	nhìn
𥚇	U+25687	lưỡi
𥚤	U+256A4	thờ
𥚥	U+256A5	lãi
𥚯	U+256AF	dễ
𥛉	U+256C9	lậy
𥛗	U+256D7	nhòm
𥛭	U+256ED	lẻ
𥜀	U+25700	vải
𥜌	U+2570C	áo
𥜡	U+25721	nhẽ
𥜤	U+25724	rẻ
𥝌	U+2574C	hòa|kê
𥝎	U+2574E	gặt
𥝢	U+25762	lợi
𥝥	U+25765	cặp
𥝽	U+2577D	cấy
𥞖	U+25796	giống
𥞵	U+257B5	thê
𥟈	U+257C8	thóc
𥟉	U+257C9	thóc
𥟊	U+257CA	ngô
𥟌	U+257CC	bông
𥟠	U+257E0	kiết
𥟹	U+257F9	lụi
𥟼	U+257FC	bắp
𥠬	U+2582C	trấu
𥠭	U+2582D	giống
𥠮	U+2582E	rơm
𥠯	U+2582F	rơm
𥡗	U+25857	má
𥡘	U+25858	vựa
𥢂	U+25882	mạ
𥢃	U+25883	nành
𥢄	U+25884	mấm
𥢅	U+25885	riêng
𥢆	U+25886	riêng
𥢉	U+25889	thóc
𥢐	U+25890	cau
𥢫	U+258AB	gặt
𥢬	U+258AC	vè
𥢳	U+258B3	chứa
𥢸	U+258B8	cát
𥣐	U+258D0	vừng
𥣑	U+258D1	trồng
𥣒	U+258D2	giỗ
𥣯	U+258EF	ưu
𥣽	U+258FD	chuỗi
𥤢	U+25922	huyệt
𥥪	U+2596A	mi
𥥻	U+2597B	khánh
𥦎	U+2598E	tân
𥦝	U+2599D	dòm
𥧌	U+259CC	mị
𥧎	U+259CE	hang
𥧩	U+259E9	núp
𥧪	U+259EA	rỗng
𥧲	U+259F2	tẩm
𥨋	U+25A0B	lủng
𥨧	U+25A27	xó
𥨨	U+25A28	trống
𥩇	U+25A47	hoắm
𥩉	U+25A49	chui
𥩍	U+25A4D	xỏ
𥩯	U+25A6F	dựng
𥩰	U+25A70	sập
𥪅	U+25A85	xòi
𥪝	U+25A9D	trong
𥪞	U+25A9E	trong
𥪸	U+25AB8	đứng
𥫈	U+25AC8	long
𥫌	U+25ACC	trỗi
𥫗	U+25AD7	trúc
𥫟	U+25ADF	giễ
𥫫	U+25AEB	toán
𥫭	U+25AED	nứa
𥫱	U+25AF1	độn
𥬉	U+25B09	gầu
𥬊	U+25B0A	cần
𥬋	U+25B0B	sề
𥬔	U+25B14	khư
𥬧	U+25B27	chòm
𥬨	U+25B28	khau
𥬩	U+25B29	nia
𥬮	U+25B2E	giang
𥭌	U+25B4C	trạc
𥭍	U+25B4D	dằm
𥭎	U+25B4E	măng
𥭏	U+25B4F	mấu
𥭓	U+25B53	bác
𥭦	U+25B66	ngân
𥭵	U+25B75	nả
𥭶	U+25B76	măng
𥮇	U+25B87	bương
𥮈	U+25B88	hum
𥮉	U+25B89	bu
𥮊	U+25B8A	đũa
𥮋	U+25B8B	thẻ
𥮑	U+25B91	cảo
𥮘	U+25B98	niệm
𥮥	U+25BA5	chế
𥯇	U+25BC7	rổ
𥯈	U+25BC8	ván
𥯉	U+25BC9	đó
𥯊	U+25BCA	rá
𥯋	U+25BCB	mành
𥯌	U+25BCC	tre
𥯍	U+25BCD	mui
𥯎	U+25BCE	xóm
𥯏	U+25BCF	cổng
𥯒	U+25BD2	tơi
𥯓	U+25BD3	trúm
𥯛	U+25BDB	lạc
𥯝	U+25BDD	đốt
𥯪	U+25BEA	trấu
𥰄	U+25C04	cảu
𥰆	U+25C06	rế
𥰇	U+25C07	kè
𥰈	U+25C08	siểng
𥰊	U+25C0A	thấp
𥰠	U+25C20	lữ
𥰤	U+25C24	lưu
𥰭	U+25C2D	si
𥱨	U+25C68	rọ
𥱪	U+25C6A	cót
𥱫	U+25C6B	sáo
𥱬	U+25C6C	ghi
𥱭	U+25C6D	giành
𥱮	U+25C6E	nôi
𥱯	U+25C6F	thời
𥱰	U+25C70	giò
𥱱	U+25C71	chòm
𥱲	U+25C72	kèn
𥱴	U+25C74	vó
𥳂	U+25CC2	lược
𥳃	U+25CC3	khại
𥳄	U+25CC4	giần
𥳅	U+25CC5	rá
𥳉	U+25CC9	giô
𥳐	U+25CD0	khay
𥳑	U+25CD1	giản
𥳓	U+25CD3	sao|sáo
𥴖	U+25D16	bài
𥴗	U+25D17	thúng
𥴘	U+25D18	mui
𥴙	U+25D19	dậu
𥴚	U+25D1A	gầu
𥴛	U+25D1B	chòi
𥴜	U+25D1C	chiếu
𥴢	U+25D22	trĩ
𥴧	U+25D27	cử
𥴩	U+25D29	cách
𥵕	U+25D55	chiếu
𥵖	U+25D56	tơi
𥵗	U+25D57	hom
𥵘	U+25D58	rây
𥵙	U+25D59	giậu
𥵚	U+25D5A	cần
𥵛	U+25D5B	nong
𥵤	U+25D64	tráo|trạo
𥵾	U+25D7E	chõng
𥵿	U+25D7F	mung
𥶀	U+25D80	thùng
𥶁	U+25D81	lạt
𥶂	U+25D82	gây
𥶃	U+25D83	mủng
𥶄	U+25D84	nón
𥶇	U+25D87	rổ
𥶮	U+25DAE	toi
𥶯	U+25DAF	còi
𥶰	U+25DB0	nừng
𥶱	U+25DB1	phách
𥶲	U+25DB2	chổi
𥶳	U+25DB3	dằm
𥷒	U+25DD2	lách
𥷓	U+25DD3	nôi
𥷧	U+25DE7	trạc
𥷴	U+25DF4	cúc
𥷺	U+25DFA	mo
𥷻	U+25DFB	mây
𥸁	U+25E01	nan
𥸄	U+25E04	giậm
𥸆	U+25E06	liếp
𥸍	U+25E0D	siểng
𥸒	U+25E12	nẳn
𥸓	U+25E13	níp
𥸝	U+25E1D	trúm
𥸠	U+25E20	thẻ
𥸱	U+25E31	sâm
𥸷	U+25E37	xuy|xôi
𥸿	U+25E3F	bả
𥹀	U+25E40	tấm
𥹘	U+25E58	bánh
𥹙	U+25E59	cháo
𥹞	U+25E5E	dại
𥹯	U+25E6F	dồi
𥹰	U+25E70	lâu
𥹸	U+25E78	bột
𥺆	U+25E86	sền
𥺊	U+25E8A	gạo
𥺎	U+25E8E	bổi
𥺏	U+25E8F	xôi
𥺐	U+25E90	thính
𥺑	U+25E91	tấm
𥺒	U+25E92	thính
𥺓	U+25E93	lớ
𥺔	U+25E94	xôi
𥺕	U+25E95	bã
𥺖	U+25E96	bã
𥺝	U+25E9D	trù
𥺹	U+25EB9	oản
𥺺	U+25EBA	xệp
𥺻	U+25EBB	cốm
𥺽	U+25EBD	suông
𥺾	U+25EBE	khằn
𥺿	U+25EBF	ỉa
𥻘	U+25ED8	lân
𥻙	U+25ED9	mẻ
𥻠	U+25EE0	dẻo
𥻡	U+25EE1	mày
𥻢	U+25EE2	thính
𥻣	U+25EE3	dầy
𥻧	U+25EE7	hèm
𥻮	U+25EEE	tẻ
𥻸	U+25EF8	bún
𥻹	U+25EF9	chè
𥻺	U+25EFA	khê
𥻻	U+25EFB	nếp
𥻼	U+25EFC	ú
𥻽	U+25EFD	cứt
𥼕	U+25F15	lép
𥼖	U+25F16	mẳn
𥼱	U+25F31	kẹo
𥼲	U+25F32	hẩm
𥼳	U+25F33	ú
𥽄	U+25F44	thúng
𥽇	U+25F47	cám
𥽌	U+25F4C	gạo
𥽍	U+25F4D	cốm
𥽎	U+25F4E	hèm
𥽔	U+25F54	men
𥽡	U+25F61	phân
𥽢	U+25F62	phèn
𥽤	U+25F64	xia
𥽩	U+25F69	xầy
𥽪	U+25F6A	đúc
𥽵	U+25F75	nhão
𥾃	U+25F83	men
𥾋	U+25F8B	nái
𥾗	U+25F97	díu
𥾘	U+25F98	sợi
𥾛	U+25F9B	chặt
𥾡	U+25FA1	huyến
𥾵	U+25FB5	phảng
𥾺	U+25FBA	tung
𥾽	U+25FBD	bền
𥾾	U+25FBE	buộc
𥾿	U+25FBF	ngó
𥿀	U+25FC0	vít
𥿁	U+25FC1	vương
𥿂	U+25FC2	tim
𥿉	U+25FC9	miệt
𥿗	U+25FD7	giấy
𥿠	U+25FE0	bủa
𥿡	U+25FE1	nỉ
𥿣	U+25FE3	chão
𥿤	U+25FE4	khâu
𥿥	U+25FE5	sợi
𥿮	U+25FEE	chức|vực
𥿳	U+25FF3	tế
𥿺	U+25FFA	vòng
𦀅	U+26005	niền
𦀇	U+26007	kinh
𦀊	U+2600A	dai
𦀋	U+2600B	buông
𦀌	U+2600C	nhợ
𦀍	U+2600D	rách
𦀎	U+2600E	riết
𦀏	U+2600F	thùa
𦀐	U+26010	chằng
𦀑	U+26011	trói
𦀖	U+26016	kép
𦀗	U+26017	chức|xích
𦀚	U+2601A	giềng
𦀠	U+26020	thống
𦀨	U+26028	nơ
𦀪	U+2602A	vá
𦀫	U+2602B	yếm
𦀴	U+26034	mạng
𦀵	U+26035	chuỗi
𦀹	U+26039	thun
𦀺	U+2603A	xe
𦀻	U+2603B	cửi
𦀼	U+2603C	nối
𦀽	U+2603D	kéo|kết
𦀾	U+2603E	ràng
𦀿	U+2603F	vải
𦁀	U+26040	bối
𦁁	U+26041	nuộc
𦁂	U+26042	bận
𦁅	U+26045	sô
𦁉	U+26049	thỏa|tuy
𦁢	U+26062	chằng
𦁣	U+26063	go
𦁴	U+26074	thân
𦁸	U+26078	mạng
𦁹	U+26079	rớ
𦁺	U+2607A	món
𦁻	U+2607B	nịt
𦁼	U+2607C	may
𦁽	U+2607D	vướng
𦁾	U+2607E	ửng
𦁿	U+2607F	gò
𦂁	U+26081	đỏi
𦂈	U+26088	trủ
𦂌	U+2608C	bổng
𦂛	U+2609B	the
𦂝	U+2609D	tập
𦂯	U+260AF	tài
𦂳	U+260B3	khẩn
𦂶	U+260B6	ỷ
𦂺	U+260BA	ươm
𦂻	U+260BB	luốt
𦂼	U+260BC	giậm
𦂽	U+260BD	đột
𦂾	U+260BE	dệt
𦂿	U+260BF	buộc
𦃀	U+260C0	chải
𦃂	U+260C2	khẩn
𦃐	U+260D0	tao
𦃠	U+260E0	chuy
𦃮	U+260EE	gai
𦃯	U+260EF	tói
𦃾	U+260FE	lượt
𦃿	U+260FF	vải
𦄀	U+26100	mã
𦄁	U+26101	thùn
𦄂	U+26102	dải
𦄃	U+26103	chít
𦄄	U+26104	quấn
𦄅	U+26105	dệt
𦄆	U+26106	may
𦄇	U+26107	nịt
𦄈	U+26108	xuyến
𦄉	U+26109	súc
𦄌	U+2610C	chắp
𦄓	U+26113	xâu
𦄘	U+26118	duyên|duyến
𦄛	U+2611B	chuy
𦄞	U+2611E	vấn
𦄠	U+26120	nút
𦄣	U+26123	cuộn
𦄲	U+26132	súc
𦄴	U+26134	chài
𦄵	U+26135	dứt
𦄶	U+26136	rìa
𦄷	U+26137	thòng
𦄸	U+26138	xụng
𦄹	U+26139	chão
𦄺	U+2613A	rắng
𦄻	U+2613B	quắn
𦄾	U+2613E	vóc
𦄿	U+2613F	mặc
𦅔	U+26154	mặc
𦅭	U+2616D	đũi
𦅮	U+2616E	tàn
𦅯	U+2616F	nhẳng
𦅰	U+26170	đùm
𦅱	U+26171	thùa
𦅲	U+26172	vợt
𦅴	U+26174	vở
𦆈	U+26188	huề
𦆎	U+2618E	dịch
𦆙	U+26199	sồi
𦆚	U+2619A	néo
𦆟	U+2619F	mùng
𦆵	U+261B5	tài
𦆹	U+261B9	đũi
𦆺	U+261BA	lĩnh
𦇇	U+261C7	nhão
𦇒	U+261D2	rối
𦇓	U+261D3	kế
𦇛	U+261DB	lạp
𦇧	U+261E7	kế
𦇮	U+261EE	chùng
𦇻	U+261FB	hoãn
𦈀	U+26200	xước
𦈂	U+26202	nhàu
𦈋	U+2620B	thu
𦈢	U+26222	phẫu|phữu
𦈦	U+26226	khuyết
𦈪	U+2622A	phữu
𦈫	U+2622B	khuyết
𦈱	U+26231	tư|từ
𦈽	U+2623D	chậu
𦉆	U+26246	tra
𦉇	U+26247	bình
𦉏	U+2624F	há
𦉟	U+2625F	nhạ
𦉪	U+2626A	võng
